,Unnamed: 0,red_fighter_name,blue_fighter_name,event_date,red_fighter_nickname,blue_fighter_nickname,red_fighter_result,blue_fighter_result,method,round,time,time_format,referee,details,bout_type,bonus,event_name,event_location,red_fighter_KD,blue_fighter_KD,red_fighter_sig_str,blue_fighter_sig_str,red_fighter_sig_str_pct,blue_fighter_sig_str_pct,red_fighter_total_str,blue_fighter_total_str,red_fighter_TD,blue_fighter_TD,red_fighter_TD_pct,blue_fighter_TD_pct,red_fighter_sub_att,blue_fighter_sub_att,red_fighter_rev,blue_fighter_rev,red_fighter_ctrl,blue_fighter_ctrl,red_fighter_sig_str_head,blue_fighter_sig_str_head,red_fighter_sig_str_body,blue_fighter_sig_str_body,red_fighter_sig_str_leg,blue_fighter_sig_str_leg,red_fighter_sig_str_distance,blue_fighter_sig_str_distance,red_fighter_sig_str_clinch,blue_fighter_sig_str_clinch,red_fighter_sig_str_ground,blue_fighter_sig_str_ground,red_fighter_sig_str_head_pct,blue_fighter_sig_str_head_pct,red_fighter_sig_str_body_pct,blue_fighter_sig_str_body_pct,red_fighter_sig_str_leg_pct,blue_fighter_sig_str_leg_pct,red_fighter_sig_str_distance_pct,blue_fighter_sig_str_distance_pct,red_fighter_sig_str_clinch_pct,blue_fighter_sig_str_clinch_pct,red_fighter_sig_str_ground_pct,blue_fighter_sig_str_ground_pct,red_fighter_total_pts,blue_fighter_total_pts,red_nickname,red_wins,red_losses,red_draws,red_height_cm,red_weight_in_kg,red_reach_in_cm,red_stance,red_date_of_birth,red_significant_strikes_landed_per_minute,red_significant_striking_accuracy,red_significant_strikes_absorbed_per_minute,red_significant_strike_defence,red_average_takedowns_landed_per_15_minutes,red_takedown_accuracy,red_takedown_defense,red_average_submissions_attempted_per_15_minutes,blue_nickname,blue_wins,blue_losses,blue_draws,blue_height_cm,blue_weight_in_kg,blue_reach_in_cm,blue_stance,blue_date_of_birth,blue_significant_strikes_landed_per_minute,blue_significant_striking_accuracy,blue_significant_strikes_absorbed_per_minute,blue_significant_strike_defence,blue_average_takedowns_landed_per_15_minutes,blue_takedown_accuracy,blue_takedown_defense,blue_average_submissions_attempted_per_15_minutes
312,307,BILL ALGEO,KYLE NELSON,30/03/2024,Senor Perfecto,The Monster,L,W,KO/TKO,1,4:00,3 Rnd (5-5-5),Gary Copeland,Punches to Head At Distance,Featherweight Bout,-,UFC Fight Night: Blanchfield vs. Fiorot,"Atlantic City, New Jersey, USA",0,0,30 of 58,32 of 59,51,54,44 of 73,40 of 68,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:48,11 of 34,20 of 45,11 of 11,6 of 8,8 of 13,6 of 6,30 of 55,28 of 52,0 of 3,4 of 6,0 of 0,0 of 1,36,62,36,18,26,18,100,87,0,12,0,0,- - -,- - -,Senor Perfecto,18.0,7.0,0.0,182.88,65.77,185.42,Switch,1989-06-09,6.11,52.0,4.41,47.0,0.89,46.0,56.0,0.1,The Monster,15.0,5.0,1.0,180.34,65.77,180.34,Switch,1991-04-20,3.46,44.0,4.56,52.0,1.15,20.0,73.0,0.7
313,308,CHIDI NJOKUANI,RHYS MCKEE,30/03/2024,Bang Bang,Skeletor,W,L,Decision - Split,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mamunah Querido 29 - 28. Chris Lee 27 - 30. Sal D'amato 27 - 30.,Welterweight Bout,-,UFC Fight Night: Blanchfield vs. Fiorot,"Atlantic City, New Jersey, USA",0,0,64 of 98,30 of 93,65,32,96 of 139,40 of 105,0 of 2,0 of 7,0,0,0,0,0,0,0:53,6:41,17 of 40,21 of 80,18 of 25,5 of 8,29 of 33,4 of 5,46 of 75,28 of 90,18 of 23,2 of 3,0 of 0,0 of 0,26,70,28,16,45,13,71,93,28,6,0,0,30 30 28,27 27 29,Bang Bang,22.0,10.0,0.0,190.5,83.91,203.2,Orthodox,1988-12-31,4.04,60.0,3.19,53.0,0.0,0.0,67.0,0.3,Skeletor,10.0,5.0,1.0,187.96,77.11,198.12,Orthodox,1995-09-10,6.06,48.0,9.47,44.0,0.0,0.0,33.0,0.0
314,309,NATE LANDWEHR,JAMALL EMMERS,30/03/2024,The Train,Pretty Boy,W,L,KO/TKO,1,4:43,3 Rnd (5-5-5),Keith Peterson,Punch to Head At Distance,Featherweight Bout,perf,UFC Fight Night: Blanchfield vs. Fiorot,"Atlantic City, New Jersey, USA",1,0,37 of 76,39 of 78,48,50,37 of 76,39 of 78,0 of 0,0 of 0,---,---,0,0,0,0,0:05,0:01,34 of 70,24 of 59,3 of 5,13 of 17,0 of 1,2 of 2,24 of 62,36 of 74,9 of 10,3 of 4,4 of 4,0 of 0,91,61,8,33,0,5,64,92,24,7,10,0,- - -,- - -,The Train,17.0,5.0,0.0,175.26,65.77,182.88,Orthodox,1988-06-06,6.14,46.0,5.58,55.0,1.07,41.0,86.0,1.1,Pretty Boy,20.0,7.0,0.0,177.8,65.77,187.96,Orthodox,1989-07-24,5.1,48.0,3.79,57.0,1.96,40.0,90.0,0.2
315,310,VIRNA JANDIROBA,LOOPY GODINEZ,30/03/2024,Carcara,-,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Vitor Ribeiro,Eric Colon 28 - 29. Mamunah Querido 28 - 29. Chris Lee 27 - 30.,Women's Strawweight Bout,-,UFC Fight Night: Blanchfield vs. Fiorot,"Atlantic City, New Jersey, USA",0,0,30 of 108,38 of 95,27,40,86 of 180,50 of 116,2 of 9,0 of 0,22,---,3,0,1,1,6:35,1:52,27 of 100,25 of 79,3 of 8,11 of 14,0 of 0,2 of 2,30 of 106,30 of 82,0 of 2,7 of 11,0 of 0,1 of 2,90,65,10,28,0,5,100,78,0,18,0,2,29 30 29,28 27 28,Carcara,19.0,3.0,0.0,160.02,52.16,162.56,Orthodox,1988-05-30,2.34,40.0,3.03,56.0,2.42,39.0,73.0,1.0,,12.0,3.0,0.0,157.48,52.16,154.94,Orthodox,1993-09-06,4.31,49.0,3.76,62.0,3.39,46.0,86.0,1.1
316,311,JULIO ARCE,HERBERT BURNS,30/03/2024,-,The Blaze,W,L,KO/TKO,2,2:00,3 Rnd (5-5-5),Gary Copeland,Punch to Head At Distance,Featherweight Bout,-,UFC Fight Night: Blanchfield vs. Fiorot,"Atlantic City, New Jersey, USA",2,0,29 of 79,15 of 57,36,26,29 of 79,20 of 63,0 of 1,0 of 6,0,0,0,0,0,0,0:08,1:16,19 of 65,9 of 45,9 of 12,5 of 10,1 of 2,1 of 2,20 of 68,13 of 55,9 of 11,2 of 2,0 of 0,0 of 0,65,60,31,33,3,6,68,86,31,13,0,0,10 9 10,9 10 98,,18.0,6.0,0.0,170.18,61.23,177.8,Southpaw,1989-10-27,4.38,36.0,3.1,68.0,0.49,30.0,95.0,0.4,The Blaze,11.0,4.0,0.0,175.26,65.77,185.42,Orthodox,1988-02-02,1.61,51.0,4.74,30.0,3.92,75.0,60.0,3.3
317,312,DENNIS BUZUKJA,CONNOR MATTHEWS,30/03/2024,The Great,The Controller,W,L,KO/TKO,3,0:22,3 Rnd (5-5-5),Keith Peterson,Punch to Head At Distance,Featherweight Bout,perf,UFC Fight Night: Blanchfield vs. Fiorot,"Atlantic City, New Jersey, USA",1,0,83 of 201,60 of 138,41,43,84 of 202,62 of 140,0 of 0,1 of 3,---,33,0,0,0,0,0:06,0:40,44 of 145,37 of 101,18 of 34,14 of 27,21 of 22,9 of 10,77 of 186,57 of 134,2 of 3,1 of 1,4 of 12,2 of 3,53,61,21,23,25,15,92,95,2,1,4,3,20 20 20,18 18 18,The Great,8.0,4.0,0.0,175.26,65.77,177.8,Switch,1997-10-01,3.3,43.0,4.93,40.0,0.98,30.0,73.0,0.3,The Controller,7.0,1.0,0.0,172.72,65.77,180.34,Switch,1992-05-31,5.13,44.0,5.57,55.0,3.5,58.0,50.0,1.0
318,313,IBO ASLAN,ANTON TURKALJ,30/03/2024,The Last Ottoman,The Pleasure Man,W,L,KO/TKO,3,1:32,3 Rnd (5-5-5),Gary Copeland,Punch to Head At Distance,Light Heavyweight Bout,fight,UFC Fight Night: Blanchfield vs. Fiorot,"Atlantic City, New Jersey, USA",1,0,74 of 180,55 of 157,41,35,76 of 183,58 of 162,0 of 0,0 of 8,---,0,0,0,0,0,0:01,0:18,57 of 153,36 of 126,4 of 8,11 of 18,13 of 19,8 of 13,65 of 163,49 of 146,8 of 15,6 of 11,1 of 2,0 of 0,77,65,5,20,17,14,87,89,10,10,1,0,20 20 19,18 18 19,The Last Ottoman,12.0,1.0,0.0,190.5,92.99,195.58,Orthodox,1996-04-23,8.87,72.0,3.38,63.0,0.0,0.0,0.0,0.0,The Pleasure Man,8.0,3.0,0.0,193.04,92.99,198.12,Orthodox,1996-06-10,1.72,53.0,2.48,49.0,6.55,51.0,16.0,0.0
319,314,ANDRE PETROSKI,JACOB MALKOUN,30/03/2024,-,Mamba,L,W,KO/TKO,2,0:39,3 Rnd (5-5-5),Gary Copeland,Kick to Body On Ground Petroski hit head on takedown attempt,Middleweight Bout,-,UFC Fight Night: Blanchfield vs. Fiorot,"Atlantic City, New Jersey, USA",0,0,13 of 42,20 of 40,30,50,13 of 43,21 of 41,1 of 2,0 of 3,50,0,0,0,0,0,0:13,0:32,6 of 34,16 of 36,2 of 2,4 of 4,5 of 6,0 of 0,12 of 41,17 of 35,1 of 1,0 of 1,0 of 0,3 of 4,46,80,15,20,38,0,92,85,7,0,0,15,10 10 10,9 9 9,,10.0,3.0,0.0,182.88,83.91,185.42,Switch,1991-06-12,3.61,51.0,3.03,51.0,4.48,54.0,71.0,2.5,Mamba,7.0,3.0,0.0,175.26,83.91,185.42,Orthodox,1995-08-26,3.89,56.0,2.49,50.0,7.2,44.0,0.0,0.5
320,315,ANGEL PACHECO,CAOLAN LOUGHRAN,30/03/2024,-,The Don,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Vitor Ribeiro,Adrian Castro 27 - 30. Eric Colon 27 - 30. Dave Tirelli 27 - 30.,Bantamweight Bout,-,UFC Fight Night: Blanchfield vs. Fiorot,"Atlantic City, New Jersey, USA",0,0,88 of 234,140 of 268,37,52,95 of 241,148 of 286,0 of 0,3 of 4,---,75,0,0,0,0,0:09,4:42,44 of 180,112 of 226,32 of 38,18 of 30,12 of 16,10 of 12,80 of 226,97 of 208,8 of 8,9 of 10,0 of 0,34 of 50,50,80,36,12,13,7,90,69,9,6,0,24,27 27 26,30 30 30,,7.0,2.0,0.0,172.72,65.77,177.8,Orthodox,1992-01-13,13.13,40.0,13.6,35.0,0.0,0.0,33.0,0.0,The Don,8.0,1.0,0.0,167.64,61.23,172.72,Orthodox,1996-05-18,3.2,36.0,5.6,48.0,2.0,18.0,0.0,0.0
321,316,AMANDA RIBAS,ROSE NAMAJUNAS,23/03/2024,-,Thug,L,W,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Mike Bell 46 - 49. Junichiro Kamijo 46 - 49. Sal D'amato 47 - 48.,Women's Flyweight Bout,-,UFC Fight Night: Ribas vs. Namajunas,"Las Vegas, Nevada, USA",0,0,83 of 270,93 of 188,30,49,137 of 342,169 of 281,4 of 8,1 of 3,50,33,0,0,0,1,1:38,6:59,39 of 195,45 of 124,19 of 42,44 of 60,25 of 33,4 of 4,76 of 259,81 of 176,4 of 6,12 of 12,3 of 5,0 of 0,46,48,22,47,30,4,91,87,4,12,3,0,46 47 46,49 48 49,,12.0,4.0,0.0,160.02,52.16,167.64,Orthodox,1993-08-26,4.92,42.0,3.33,63.0,1.99,51.0,87.0,0.8,Thug,12.0,6.0,0.0,165.1,56.7,165.1,Orthodox,1992-06-29,3.68,40.0,3.53,62.0,1.49,48.0,60.0,0.6
322,317,KARL WILLIAMS,JUSTIN TAFA,23/03/2024,-,Bad Man,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Jacob Montalvo 27 - 30. Mike Bell 28 - 29. Chris Flores 28 - 29.,Heavyweight Bout,-,UFC Fight Night: Ribas vs. Namajunas,"Las Vegas, Nevada, USA",0,0,40 of 61,21 of 43,65,48,123 of 176,27 of 50,7 of 12,0 of 0,58,---,1,0,0,0,10:31,0:00,26 of 47,15 of 36,7 of 7,6 of 7,7 of 7,0 of 0,19 of 29,18 of 39,3 of 4,2 of 3,18 of 28,1 of 1,65,71,17,28,17,0,47,85,7,9,45,4,30 29 29,27 28 28,,9.0,1.0,0.0,190.5,106.59,200.66,Orthodox,1990-01-06,2.93,49.0,1.8,62.0,4.0,46.0,100.0,0.0,Bad Man,7.0,3.0,0.0,182.88,119.75,187.96,Southpaw,1993-12-13,5.13,55.0,5.93,49.0,0.0,0.0,100.0,0.0
323,318,EDMEN SHAHBAZYAN,AJ DOBSON,23/03/2024,The Golden Boy,-,W,L,KO/TKO,1,4:33,3 Rnd (5-5-5),Mark Smith,Punches to Head On Ground,Middleweight Bout,-,UFC Fight Night: Ribas vs. Namajunas,"Las Vegas, Nevada, USA",1,0,27 of 43,15 of 46,62,32,31 of 51,20 of 54,1 of 3,0 of 0,33,---,0,0,0,1,0:49,1:15,19 of 34,7 of 36,2 of 3,2 of 2,6 of 6,6 of 8,16 of 24,12 of 43,1 of 3,3 of 3,10 of 16,0 of 0,70,46,7,13,22,40,59,80,3,20,37,0,- - -,- - -,The Golden Boy,12.0,4.0,0.0,187.96,83.91,190.5,Orthodox,1997-11-20,3.46,51.0,4.13,43.0,2.17,39.0,63.0,0.6,,7.0,2.0,0.0,185.42,83.91,193.04,Orthodox,1992-01-18,4.38,47.0,5.25,47.0,1.82,75.0,64.0,0.3
324,319,PAYTON TALBOTT,CAMERON SAAIMAN,23/03/2024,-,MSP,W,L,KO/TKO,2,0:21,3 Rnd (5-5-5),Chris Tognoni,Punches to Head On Ground,Bantamweight Bout,perf,UFC Fight Night: Ribas vs. Namajunas,"Las Vegas, Nevada, USA",1,0,79 of 129,31 of 64,61,48,83 of 135,33 of 66,0 of 1,0 of 3,0,0,0,0,0,0,0:30,0:00,52 of 96,13 of 40,21 of 27,11 of 17,6 of 6,7 of 7,54 of 98,30 of 63,6 of 8,1 of 1,19 of 23,0 of 0,65,41,26,35,7,22,68,96,7,3,24,0,10 10 10,9 9 9,,7.0,0.0,0.0,177.8,61.23,177.8,Switch,1998-09-09,6.66,51.0,3.12,51.0,0.0,0.0,88.0,0.6,MSP,9.0,1.0,0.0,172.72,61.23,170.18,Southpaw,2000-12-20,5.28,46.0,3.24,55.0,1.0,36.0,44.0,0.8
325,320,BILLY QUARANTILLO,YOUSSEF ZALAL,23/03/2024,-,The Moroccan Devil,L,W,Submission,2,1:50,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,Featherweight Bout,-,UFC Fight Night: Ribas vs. Namajunas,"Las Vegas, Nevada, USA",0,0,10 of 50,33 of 56,20,58,26 of 74,37 of 62,0 of 0,2 of 2,---,100,0,2,0,0,0:21,2:55,8 of 36,18 of 36,0 of 8,5 of 9,2 of 6,10 of 11,10 of 50,28 of 49,0 of 0,0 of 1,0 of 0,5 of 6,80,54,0,15,20,30,100,84,0,0,0,15,9 9 9,10 10 10,,18.0,5.0,0.0,177.8,65.77,177.8,Orthodox,1988-12-08,7.71,57.0,5.61,43.0,1.31,23.0,63.0,1.2,The Moroccan Devil,10.0,5.0,1.0,177.8,61.23,182.88,Switch,1996-09-04,2.75,48.0,1.75,64.0,2.14,31.0,60.0,1.1
326,321,FERNANDO PADILLA,LUIS PAJUELO,23/03/2024,El Valiente,Corazon de Leon,W,L,Submission,1,2:45,3 Rnd (5-5-5),Jason Herzog,D'Arce Choke Standing,Featherweight Bout,perf,UFC Fight Night: Ribas vs. Namajunas,"Las Vegas, Nevada, USA",1,0,34 of 61,5 of 13,55,38,35 of 64,7 of 15,0 of 0,0 of 0,---,---,1,0,0,0,0:47,0:00,24 of 49,1 of 9,6 of 8,2 of 2,4 of 4,2 of 2,17 of 32,5 of 13,0 of 0,0 of 0,17 of 29,0 of 0,70,20,17,40,11,40,50,100,0,0,50,0,- - -,- - -,El Valiente,15.0,5.0,0.0,185.42,65.77,193.04,Orthodox,1996-12-15,5.51,38.0,5.81,53.0,0.0,0.0,100.0,0.0,Corazon de Leon,8.0,1.0,0.0,177.8,65.77,175.26,Orthodox,1994-12-18,9.15,61.0,5.11,62.0,0.0,0.0,66.0,0.0
327,322,KURT HOLOBAUGH,TREY OGDEN,23/03/2024,-,Shamurai,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Sal D'amato 27 - 30. Chris Leben 27 - 30. Jacob Montalvo 27 - 30.,Lightweight Bout,-,UFC Fight Night: Ribas vs. Namajunas,"Las Vegas, Nevada, USA",0,0,29 of 68,35 of 66,42,53,129 of 188,225 of 320,0 of 0,3 of 4,---,75,0,0,0,0,0:10,11:09,9 of 43,22 of 52,9 of 12,4 of 4,11 of 13,9 of 10,24 of 63,28 of 59,3 of 3,2 of 2,2 of 2,5 of 5,31,62,31,11,37,25,82,80,10,5,6,14,27 27 27,30 30 30,,21.0,7.0,0.0,180.34,70.31,177.8,Orthodox,1986-09-08,4.89,44.0,4.44,48.0,0.87,36.0,50.0,1.1,Samurai Ghost,16.0,6.0,0.0,180.34,70.31,182.88,Orthodox,1989-11-14,3.64,47.0,4.02,58.0,1.29,16.0,100.0,0.8
328,323,RICARDO RAMOS,JULIAN EROSA,23/03/2024,-,Juicy J,L,W,Submission,1,2:15,3 Rnd (5-5-5),Chris Tognoni,Guillotine Choke From Guard,Featherweight Bout,-,UFC Fight Night: Ribas vs. Namajunas,"Las Vegas, Nevada, USA",0,0,7 of 17,4 of 11,41,36,12 of 23,11 of 21,2 of 3,0 of 0,66,---,0,1,0,0,1:27,0:00,5 of 14,2 of 8,1 of 2,2 of 3,1 of 1,0 of 0,6 of 15,4 of 11,0 of 0,0 of 0,1 of 2,0 of 0,71,50,14,50,14,0,85,100,0,0,14,0,- -,- -,,16.0,5.0,0.0,175.26,65.77,182.88,Orthodox,1995-08-01,3.21,37.0,3.78,57.0,2.79,59.0,72.0,0.7,Juicy J,28.0,12.0,0.0,185.42,65.77,187.96,Southpaw,1989-07-31,6.22,48.0,6.35,47.0,1.66,46.0,61.0,0.6
329,324,MILES JOHNS,CODY GIBSON,23/03/2024,Chapo,The Renegade,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Sal D'amato 27 - 30. Chris Flores 27 - 30. Chris Leben 27 - 30.,Bantamweight Bout,-,UFC Fight Night: Ribas vs. Namajunas,"Las Vegas, Nevada, USA",0,0,25 of 79,18 of 62,31,29,64 of 137,52 of 108,2 of 8,1 of 7,25,14,0,0,1,0,6:29,1:55,18 of 66,9 of 39,5 of 9,4 of 17,2 of 4,5 of 6,20 of 72,16 of 60,4 of 6,2 of 2,1 of 1,0 of 0,72,50,20,22,8,27,80,88,16,11,4,0,30 30 30,27 27 27,Chapo,14.0,2.0,0.0,170.18,61.23,167.64,Orthodox,1994-03-30,3.51,48.0,2.75,68.0,1.03,21.0,85.0,0.0,The Renegade,20.0,9.0,0.0,177.8,61.23,180.34,Orthodox,1987-09-11,4.75,45.0,4.73,55.0,1.35,35.0,64.0,0.3
330,325,JARNO ERRENS,STEVEN NGUYEN,23/03/2024,-,The Ninja,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 27 - 30. Chris Flores 27 - 30. Jacob Montalvo 27 - 30.,Featherweight Bout,fight,UFC Fight Night: Ribas vs. Namajunas,"Las Vegas, Nevada, USA",1,0,105 of 207,63 of 226,50,27,106 of 208,63 of 227,0 of 1,1 of 1,0,100,0,0,0,0,0:12,0:23,51 of 139,47 of 187,29 of 38,8 of 16,25 of 30,8 of 23,103 of 203,59 of 219,2 of 4,1 of 1,0 of 0,3 of 6,48,74,27,12,23,12,98,93,1,1,0,4,30 30 30,27 27 27,,13.0,5.0,1.0,180.34,65.77,185.42,Orthodox,1994-11-17,1.67,38.0,2.93,52.0,0.0,0.0,33.0,0.5,The Ninja,9.0,1.0,0.0,180.34,65.77,185.42,Switch,1993-05-19,8.29,43.0,7.49,63.0,0.0,0.0,83.0,0.0
331,326,MONTSERRAT RENDON,DARIA ZHELEZNIAKOVA,23/03/2024,Monster,Iron Lady,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 28 - 29. Sal D'amato 28 - 29. Junichiro Kamijo 28 - 29.,Women's Bantamweight Bout,-,UFC Fight Night: Ribas vs. Namajunas,"Las Vegas, Nevada, USA",0,0,25 of 147,57 of 150,17,38,28 of 156,73 of 171,3 of 6,0 of 0,50,---,0,0,0,0,5:24,0:01,19 of 134,36 of 125,4 of 11,21 of 25,2 of 2,0 of 0,25 of 137,51 of 144,0 of 8,6 of 6,0 of 2,0 of 0,76,63,16,36,8,0,100,89,0,10,0,0,28 28 28,29 29 29,Monster,6.0,0.0,0.0,172.72,61.23,172.72,Orthodox,1989-03-16,4.6,37.0,4.0,44.0,3.0,60.0,100.0,0.0,,,,,,,,,,,,,,,,,
332,327,IGOR SEVERINO,ANDRE LIMA,23/03/2024,-,Mascote,L,W,DQ,2,2:52,3 Rnd (5-5-5),Chris Tognoni,Biting by Severino,Flyweight Bout,-,UFC Fight Night: Ribas vs. Namajunas,"Las Vegas, Nevada, USA",0,0,36 of 78,30 of 58,46,51,40 of 85,38 of 66,5 of 9,1 of 2,55,50,0,2,0,0,3:00,0:24,17 of 55,16 of 40,9 of 13,8 of 12,10 of 10,6 of 6,31 of 71,29 of 56,4 of 5,1 of 2,1 of 2,0 of 0,47,53,25,26,27,20,86,96,11,3,2,0,9 9 10,10 10 9,,,,,,,,,,,,,,,,,,Mascote,7.0,0.0,0.0,170.18,56.7,170.18,Orthodox,1999-02-04,4.07,66.0,1.67,67.0,1.0,100.0,100.0,0.0
333,328,MOHAMMED USMAN,MICK PARKIN,23/03/2024,The Motor,-,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29. Adalaide Byrd 28 - 29. Sal D'amato 28 - 29.,Heavyweight Bout,-,UFC Fight Night: Ribas vs. Namajunas,"Las Vegas, Nevada, USA",0,0,57 of 167,72 of 150,34,48,57 of 168,72 of 150,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,26 of 114,37 of 109,30 of 52,4 of 4,1 of 1,31 of 37,57 of 167,71 of 149,0 of 0,1 of 1,0 of 0,0 of 0,45,51,52,5,1,43,100,98,0,1,0,0,28 28 28,29 29 29,The Motor,11.0,2.0,0.0,187.96,108.41,200.66,Orthodox,1989-04-01,2.92,40.0,3.96,52.0,1.26,18.0,0.0,0.0,,8.0,0.0,0.0,193.04,120.2,200.66,Orthodox,1995-10-02,4.41,52.0,4.01,55.0,2.35,41.0,50.0,0.5
334,329,TAI TUIVASA,MARCIN TYBURA,16/03/2024,Bam Bam,Tybur,L,W,Submission,1,4:08,5 Rnd (5-5-5-5-5),Herb Dean,Rear Naked Choke,Heavyweight Bout,perf,UFC Fight Night: Tuivasa vs. Tybura,"Las Vegas, Nevada, USA",0,0,15 of 24,27 of 41,62,65,18 of 27,73 of 96,0 of 0,1 of 4,---,25,0,1,0,0,0:00,2:48,9 of 17,23 of 34,1 of 2,4 of 7,5 of 5,0 of 0,8 of 17,8 of 20,7 of 7,0 of 0,0 of 0,19 of 21,60,85,6,14,33,0,53,29,46,0,0,70,- - -,- - -,Bam Bam,15.0,6.0,0.0,187.96,119.75,190.5,Southpaw,1993-03-16,3.98,49.0,4.98,43.0,0.0,0.0,54.0,0.0,Tybur,24.0,8.0,0.0,190.5,112.94,198.12,Orthodox,1985-11-09,3.55,48.0,3.35,55.0,1.39,33.0,79.0,0.1
335,330,OVINCE SAINT PREUX,KENNEDY NZECHUKWU,16/03/2024,-,African Savage,W,L,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd 28 - 29. Derek Cleary 29 - 28. Junichiro Kamijo 28 - 29.,Light Heavyweight Bout,-,UFC Fight Night: Tuivasa vs. Tybura,"Las Vegas, Nevada, USA",1,0,143 of 276,106 of 250,51,42,143 of 276,106 of 250,0 of 2,0 of 1,0,0,0,0,0,0,0:06,0:08,98 of 223,85 of 213,32 of 39,19 of 35,13 of 14,2 of 2,131 of 262,93 of 235,11 of 13,13 of 15,1 of 1,0 of 0,68,80,22,17,9,1,91,87,7,12,0,0,29 28 29,28 29 28,,26.0,17.0,0.0,190.5,92.99,203.2,Southpaw,1983-04-08,2.71,47.0,3.14,46.0,1.15,38.0,66.0,0.5,African Savage,12.0,4.0,0.0,195.58,92.99,210.82,Southpaw,1992-06-13,4.86,46.0,4.27,51.0,0.68,50.0,80.0,0.3
336,331,CHRISTIAN RODRIGUEZ,ISAAC DULGARIAN,16/03/2024,-,The Midwest Choppa,W,L,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Sal D'amato 27 - 28. Anthony Maness 28 - 27. Ron McCarthy 27 - 28.,Featherweight Bout,-,UFC Fight Night: Tuivasa vs. Tybura,"Las Vegas, Nevada, USA",0,0,48 of 76,22 of 44,63,50,97 of 135,56 of 89,0 of 0,7 of 16,---,43,0,2,0,0,3:19,9:22,43 of 71,17 of 39,4 of 4,2 of 2,1 of 1,3 of 3,21 of 40,14 of 34,10 of 10,1 of 1,17 of 26,7 of 9,89,77,8,9,2,13,43,63,20,4,35,31,28 27 28,27 28 27,,10.0,1.0,0.0,170.18,61.23,180.34,Orthodox,1997-12-17,3.51,46.0,2.46,58.0,1.4,54.0,70.0,1.4,The Midwest Choppa,6.0,0.0,0.0,170.18,65.77,180.34,Orthodox,1996-07-04,7.29,66.0,0.42,71.0,3.13,100.0,0.0,0.0
337,332,PANNIE KIANZAD,MACY CHIASSON,16/03/2024,Banzai,-,L,W,Submission,1,3:54,3 Rnd (5-5-5),Mark Smith,Rear Naked Choke,Women's Bantamweight Bout,perf,UFC Fight Night: Tuivasa vs. Tybura,"Las Vegas, Nevada, USA",0,0,2 of 6,4 of 10,33,40,29 of 35,5 of 11,1 of 2,2 of 2,50,100,0,1,0,1,0:52,2:28,1 of 5,3 of 8,0 of 0,1 of 2,1 of 1,0 of 0,2 of 4,3 of 9,0 of 1,1 of 1,0 of 1,0 of 0,50,75,0,25,50,0,100,75,0,25,0,0,- - -,- - -,Banzai,17.0,7.0,0.0,170.18,61.23,167.64,Orthodox,1991-12-08,4.87,49.0,3.75,53.0,0.35,30.0,71.0,0.1,,9.0,3.0,0.0,180.34,61.23,182.88,Orthodox,1991-07-27,3.64,44.0,2.61,46.0,2.17,34.0,64.0,0.3
338,333,GERALD MEERSCHAERT,BRYAN BARBERENA,16/03/2024,GM3,Bam Bam,W,L,Submission,2,4:23,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,Middleweight Bout,-,UFC Fight Night: Tuivasa vs. Tybura,"Las Vegas, Nevada, USA",0,0,11 of 17,12 of 37,64,32,30 of 36,25 of 50,3 of 7,0 of 0,42,---,2,0,0,0,5:03,0:03,7 of 12,9 of 29,2 of 3,0 of 0,2 of 2,3 of 8,11 of 17,10 of 34,0 of 0,0 of 0,0 of 0,2 of 3,63,75,18,0,18,25,100,83,0,0,0,16,10 10 10,9 9 9,GM3,35.0,17.0,0.0,185.42,83.91,195.58,Southpaw,1987-12-18,3.3,44.0,3.5,53.0,2.01,37.0,34.0,1.5,Bam Bam,18.0,11.0,0.0,182.88,77.11,182.88,Southpaw,1989-05-03,5.53,48.0,4.74,44.0,0.14,22.0,49.0,0.3
