,red_fighter_name,blue_fighter_name,method,round,time,bout_type,bonus,red_fighter_KD,blue_fighter_KD,red_fighter_sig_str_pct,blue_fighter_sig_str_pct,red_fighter_TD_pct,blue_fighter_TD_pct,red_fighter_sub_att,blue_fighter_sub_att,red_fighter_rev,blue_fighter_rev,red_fighter_ctrl,blue_fighter_ctrl,red_fighter_sig_str_head_pct,blue_fighter_sig_str_head_pct,red_fighter_sig_str_body_pct,blue_fighter_sig_str_body_pct,red_fighter_sig_str_leg_pct,blue_fighter_sig_str_leg_pct,red_fighter_sig_str_distance_pct,blue_fighter_sig_str_distance_pct,red_fighter_sig_str_clinch_pct,blue_fighter_sig_str_clinch_pct,red_fighter_sig_str_ground_pct,blue_fighter_sig_str_ground_pct,red_wins,red_losses,red_draws,red_height_cm,red_weight_in_kg,red_significant_strikes_landed_per_minute,red_significant_striking_accuracy,red_significant_strikes_absorbed_per_minute,red_significant_strike_defence,red_average_takedowns_landed_per_15_minutes,red_takedown_accuracy,red_takedown_defense,red_average_submissions_attempted_per_15_minutes,blue_wins,blue_losses,blue_draws,blue_height_cm,blue_significant_strikes_landed_per_minute,blue_significant_striking_accuracy,blue_significant_strikes_absorbed_per_minute,blue_significant_strike_defence,blue_average_takedowns_landed_per_15_minutes,blue_takedown_accuracy,blue_takedown_defense,blue_average_submissions_attempted_per_15_minutes,who_wins,red_fighter_sig_str_landed,blue_fighter_sig_str_landed,red_fighter_total_str_landed,blue_fighter_total_str_landed,red_fighter_TD_landed,red_fighter_TD_attempted,blue_fighter_TD_landed,blue_fighter_TD_attempted,red_fighter_sig_str_body_landed,blue_fighter_sig_str_body_landed,red_fighter_sig_str_leg_landed,blue_fighter_sig_str_leg_landed,red_fighter_sig_str_clinch_landed,blue_fighter_sig_str_clinch_landed,red_fighter_sig_str_ground_landed,blue_fighter_sig_str_ground_landed,red_fighter_age,blue_fighter_age,blue_fighter_stats_missing,red_fighter_stats_missing
470,640,229,3,3,300,0,0,0,0,48.0,60.0,0.0,57.0,0,0,0,0,22.0,242,84.0,77,10.0,15.0,4.0,6.0,95.0,73.0,4,13,0,13.0,20.0,8.0,0.0,172.72,61.23,5.53,45.0,3.65,56.0,0.89,35.0,46.0,0.3,22.0,3.0,0.0,165.1,3.08,55.0,3.46,51.0,1.65,44.0,58.0,1.6,0,46.0,45.0,48.0,53.0,0,2,2.5,7,5,7,2.0,3.0,2,6,0,6.0,37.0,37.0,0,0
471,671,479,5,3,103,28,3,0,0,58.0,56.0,100.0,0.0,0,0,0,0,527.5,19,57.0,38,7.0,38.0,35.0,22.0,50.0,72.0,7,22,42,5.0,16.0,1.0,0.0,177.8,77.11,3.77,53.0,3.55,61.0,3.29,57.0,87.0,1.2,18.0,9.0,0.0,175.26,3.55,41.0,3.23,58.0,0.96,30.0,59.0,0.1,1,14.0,18.0,97.0,21.0,5,5,0.0,0,1,7,5.0,4.0,1,4,6,1.0,32.0,33.0,0,0
472,155,408,3,3,300,6,0,0,0,32.0,50.0,18.0,66.0,0,0,0,0,263.0,155,44.0,71,32.0,19.0,23.0,8.0,83.0,60.0,16,32,0,6.0,33.5,15.5,0.0,170.18,70.31,2.64,33.0,3.01,61.0,3.13,36.0,67.0,0.6,13.0,5.0,0.0,172.72,3.61,41.0,4.51,54.0,0.45,60.0,64.0,0.7,0,43.0,46.0,63.0,85.0,2,10,2.0,3,14,9,10.0,4.0,7,15,0,3.0,43.0,35.0,0,0
473,614,255,5,2,250,7,3,0,0,42.0,52.0,0.0,57.0,0,0,0,0,0.0,132,58.0,37,29.0,35.0,12.0,26.0,96.0,93.0,3,6,0,0.0,9.0,4.0,0.0,180.34,83.91,3.96,45.0,4.55,48.0,0.79,40.0,33.0,0.0,15.0,5.0,0.0,182.88,3.49,44.0,3.29,48.0,2.4,40.0,46.0,0.7,0,31.0,64.0,33.0,78.0,0,0,2.5,7,9,23,4.0,17.0,1,4,0,0.0,32.0,33.0,0,0
474,537,448,5,3,75,29,3,0,0,85.0,27.0,80.0,0.0,0,0,0,0,527.5,0,96.0,100,3.0,0.0,0.0,0.0,15.0,100.0,0,0,50,0.0,20.0,9.0,0.0,167.64,61.23,2.62,45.0,2.98,51.0,2.02,31.0,55.0,1.3,9.0,3.0,0.0,170.18,2.59,43.0,2.86,50.0,0.54,33.0,50.0,0.3,1,32.0,3.0,127.0,11.0,4,5,0.0,0,1,0,0.0,0.0,0,0,15,0.0,38.0,36.0,0,0
475,792,176,4,1,109,7,3,0,0,80.0,75.0,0.0,100.0,0,0,0,0,0.0,85,75.0,77,0.0,11.0,25.0,11.0,25.0,44.0,25,0,50,27.5,0.0,0.0,0.0,177.19260869565218,72.48493629070317,0.6499999999999999,27.0,0.5350000000000006,35.5,0.0,0.0,12.5,0.0,10.0,5.0,0.0,182.88,1.8,55.0,2.51,43.0,2.69,52.0,73.0,1.1,0,4.0,9.0,10.0,12.0,0,0,1.0,1,0,1,1.0,1.0,1,0,2,5.0,33.566162570888466,30.0,0,1
476,221,411,4,1,101,6,3,0,0,85.0,83.0,0.0,50.0,0,0,0,0,40.0,53,50.0,100,0.0,0.0,50.0,0.0,50.0,100.0,0,0,50,0.0,14.0,2.0,0.0,175.26,70.31,4.33,55.0,3.4,52.0,1.78,30.0,68.0,0.0,13.0,4.0,0.0,175.26,2.21,56.0,1.53,52.0,2.65,50.0,50.0,1.5,1,2.0,1.0,8.0,9.0,0,0,1.0,2,0,0,1.0,0.0,0,0,1,0.0,36.0,31.0,0,0
477,646,331,4,2,257,5,2,0,0,61.0,57.0,25.0,0.0,0,0,0,0,169.0,101,87.0,79,11.0,12.0,1.0,8.0,22.0,52.0,13,16,50,27.5,12.0,2.0,0.0,190.5,92.99,6.47,61.0,5.9,44.0,1.09,25.0,100.0,0.5,19.0,5.0,0.0,190.5,5.59,56.0,6.56,41.0,0.0,0.0,57.0,0.0,1,80.0,73.0,99.0,92.0,1,4,0.0,0,9,9,1.0,6.0,11,12,15,8.125,28.0,28.0,0,0
478,775,372,5,2,71,28,3,0,0,64.0,63.0,100.0,100.0,0,0,0,0,100.0,31,72.0,62,5.0,26.0,21.0,11.0,86.0,81.0,5,1,8,16.0,18.0,8.0,0.0,182.88,77.11,3.23,51.0,4.17,45.0,1.55,20.0,42.0,0.8,23.0,9.0,0.0,182.88,5.08,49.0,6.68,48.0,0.67,93.5,65.0,0.2,0,37.0,53.0,46.0,62.0,1,1,1.0,1,2,14,8.0,6.0,2,1,3,8.125,28.0,31.0,0,0
479,755,367,2,3,300,31,0,0,0,42.0,49.0,50.0,33.0,0,0,0,0,94.0,239,67.0,37,25.0,46.0,6.0,16.0,69.0,53.0,30,35,0,0.0,8.0,4.0,0.0,162.56,56.7,3.27,45.0,4.1,46.0,1.27,41.0,57.0,0.4,6.0,1.0,0.0,170.18,3.97,62.0,3.53,57.0,0.5,25.0,70.0,0.0,1,43.0,43.0,61.0,74.0,1,2,1.0,3,11,20,3.0,7.0,13,15,0,0.0,29.0,34.0,0,0
