,red_fighter_name,blue_fighter_name,method,round,time,bout_type,bonus,red_fighter_KD,blue_fighter_KD,red_fighter_sig_str_pct,blue_fighter_sig_str_pct,red_fighter_TD_pct,blue_fighter_TD_pct,red_fighter_sub_att,blue_fighter_sub_att,red_fighter_rev,blue_fighter_rev,red_fighter_ctrl,blue_fighter_ctrl,red_fighter_sig_str_head_pct,blue_fighter_sig_str_head_pct,red_fighter_sig_str_body_pct,blue_fighter_sig_str_body_pct,red_fighter_sig_str_leg_pct,blue_fighter_sig_str_leg_pct,red_fighter_sig_str_distance_pct,blue_fighter_sig_str_distance_pct,red_fighter_sig_str_clinch_pct,blue_fighter_sig_str_clinch_pct,red_fighter_sig_str_ground_pct,blue_fighter_sig_str_ground_pct,red_wins,red_losses,red_draws,red_height_cm,red_weight_in_kg,red_significant_strikes_landed_per_minute,red_significant_striking_accuracy,red_significant_strikes_absorbed_per_minute,red_significant_strike_defence,red_average_takedowns_landed_per_15_minutes,red_takedown_accuracy,red_takedown_defense,red_average_submissions_attempted_per_15_minutes,blue_wins,blue_losses,blue_draws,blue_height_cm,blue_significant_strikes_landed_per_minute,blue_significant_striking_accuracy,blue_significant_strikes_absorbed_per_minute,blue_significant_strike_defence,blue_average_takedowns_landed_per_15_minutes,blue_takedown_accuracy,blue_takedown_defense,blue_average_submissions_attempted_per_15_minutes,who_wins,red_fighter_sig_str_landed,blue_fighter_sig_str_landed,red_fighter_total_str_landed,blue_fighter_total_str_landed,red_fighter_TD_landed,red_fighter_TD_attempted,blue_fighter_TD_landed,blue_fighter_TD_attempted,red_fighter_sig_str_body_landed,blue_fighter_sig_str_body_landed,red_fighter_sig_str_leg_landed,blue_fighter_sig_str_leg_landed,red_fighter_sig_str_clinch_landed,blue_fighter_sig_str_clinch_landed,red_fighter_sig_str_ground_landed,blue_fighter_sig_str_ground_landed,red_fighter_age,blue_fighter_age,blue_fighter_stats_missing,red_fighter_stats_missing
1610,ANTHONY SMITH,RYAN SPANN,Submission,1,227,Light Heavyweight Bout,perf,0,0,60.0,40.0,0.0,0.0,0,0,0,0,98.0,30,64.0,62,17.0,37.0,17.0,0.0,64.0,75.0,0,12,35,12.0,33.5,15.5,0.0,193.04,92.99,3.16,48.0,4.45,46.0,0.52,28.0,48.0,0.7,21.0,9.0,0.0,195.58,3.42,40.0,3.91,45.0,1.29,35.0,47.0,1.5,Red,17.0,8.0,18.0,8.0,0,0,0.0,1,3,3,3.0,0.0,0,1,6,1.0,36.0,33.0,0,0
1611,ION CUTELABA,DEVIN CLARK,Decision - Unanimous,3,300,Light Heavyweight Bout,No bonus,0,0,63.0,44.0,66.0,16.0,0,0,0,0,527.5,118,92.0,43,6.0,13.0,1.0,43.0,12.5,52.0,17,34,50,13.0,17.0,9.0,0.0,185.42,92.99,4.63,43.0,3.29,48.0,4.68625,58.0,77.0,0.0,14.0,8.0,0.0,182.88,2.99,55.0,2.95,43.0,2.35,33.0,60.0,0.1,Red,64.0,23.0,92.0,84.0,5,10,1.0,6,4,3,1.0,10.0,11,8,15,3.0,31.0,34.0,0,0
1612,ARIANE DA SILVA,MANDY BOHM,Decision - Unanimous,3,300,Women's Flyweight Bout,No bonus,0,0,44.0,33.0,0.0,0.0,0,0,0,0,266.0,29,31.0,50,58.5,33.0,8.0,16.0,73.0,86.0,17,13,9,0.0,0.0,0.0,0.0,177.19260869565218,72.48493629070317,0.6499999999999999,27.0,0.5350000000000006,35.5,0.0,0.0,12.5,0.0,8.0,2.0,0.0,170.18,2.51,45.0,3.24,60.0,0.72,18.0,75.0,0.7,Red,87.0,36.0,116.0,47.0,0,1,0.0,4,33,12,7.0,6.0,15,5,8,0.0,33.566162570888466,35.0,0,1
1613,ARMAN TSARUKYAN,CHRISTOS GIAGOS,KO/TKO,1,129,Lightweight Bout,perf,0,0,70.0,16.0,0.0,0.0,0,0,0,0,11.0,49,95.0,0,4.0,53.5,0.0,0.0,18.0,100.0,0,0,50,0.0,21.0,3.0,0.0,170.18,70.31,3.85,48.0,1.91,54.0,3.4,36.0,75.0,0.0,20.0,11.0,0.0,177.8,2.98,42.0,2.95,51.0,2.93,37.0,52.0,0.4,Red,22.0,1.0,27.0,4.0,0,1,0.0,0,1,1,0.0,0.0,0,0,15,0.0,28.0,35.0,0,0
1614,NATE MANESS,TONY GRAVELY,KO/TKO,2,130,Bantamweight Bout,perf,0,0,49.0,52.0,100.0,16.0,0,0,0,0,15.0,146,83.0,50,16.0,22.0,0.0,27.0,67.0,69.0,6,22,25,8.0,15.0,3.0,0.0,177.8,56.7,2.33,48.0,4.29,40.0,0.87,75.0,78.0,0.3,23.0,9.0,0.0,165.1,3.82,48.0,4.47,44.0,4.55625,41.0,52.0,0.3,Red,31.0,36.0,64.0,44.0,1,1,1.0,6,5,8,0.0,10.0,2,8,8,3.0,33.0,33.0,0,0
1615,JOAQUIN BUCKLEY,ANTONIO ARROYO,KO/TKO,3,146,Middleweight Bout,perf,0,0,40.0,45.0,16.0,0.0,0,0,0,0,78.0,24,29.0,19,29.0,47.0,41.0,33.0,82.0,100.0,4,0,12,0.0,17.0,6.0,0.0,177.8,77.11,3.87,33.0,3.31,57.0,1.51,36.0,65.0,0.0,9.0,5.0,0.0,190.5,2.82,66.0,2.02,50.0,1.14,41.0,41.0,0.2,Red,41.0,21.0,45.0,30.0,1,6,0.0,0,12,10,17.0,7.0,2,0,5,0.0,30.0,35.0,0,0
1616,MIKE RODRIGUEZ,TAFON NCHUKWI,Decision - Unanimous,3,300,Light Heavyweight Bout,No bonus,0,0,34.0,58.0,0.0,100.0,0,0,0,0,2.0,285,38.0,69,34.0,21.0,26.0,8.0,91.0,65.0,8,26,0,7.0,11.0,7.0,0.0,193.04,92.99,4.35,53.0,4.24,41.0,0.0,0.0,37.0,0.0,6.0,4.0,0.0,182.88,5.57,52.0,4.11,54.0,0.76,57.0,64.0,0.0,Blue,49.0,116.0,59.0,145.0,0,0,2.5,3,17,25,13.0,10.0,4,15,0,8.125,36.0,30.0,0,0
1617,PANNIE KIANZAD,RAQUEL PENNINGTON,Decision - Unanimous,3,300,Women's Bantamweight Bout,No bonus,0,0,51.0,60.0,50.0,33.0,0,0,0,0,334.0,376,52.0,54,40.0,35.0,8.0,10.0,26.0,47.0,35,35,0,4.0,17.0,7.0,0.0,170.18,61.23,4.87,49.0,3.75,53.0,0.35,30.0,71.0,0.1,15.0,9.0,0.0,170.18,4.02,50.0,3.34,62.0,0.93,27.0,63.0,0.6,Blue,50.0,48.0,85.0,98.0,1,2,1.0,3,20,17,4.0,5.0,15,15,0,2.0,33.0,36.0,0,0
1618,RONGZHU,BRANDON JENKINS,KO/TKO,3,275,Lightweight Bout,No bonus,0,0,64.0,39.0,75.0,0.0,0,0,0,0,527.5,4,82.0,41,9.0,17.0,8.0,41.0,50.0,87.0,1,7,48,4.0,24.0,5.0,0.0,175.26,70.31,5.6,50.0,6.36,45.0,2.56,62.0,87.0,0.0,15.0,9.0,0.0,182.88,2.93,41.0,7.385000000000002,33.0,0.0,0.0,27.0,0.0,Red,86.0,41.0,134.0,67.0,5,8,0.0,0,8,7,7.0,17.0,1,3,15,2.0,24.0,33.0,0,0
1619,MONTEL JACKSON,JP BUYS,Decision - Unanimous,3,300,Bantamweight Bout,No bonus,0,0,58.0,33.0,80.0,14.0,0,0,0,0,527.5,80,72.0,37,28.0,50.0,0.0,12.0,44.0,75.0,24,12,32,12.0,13.0,2.0,0.0,177.8,61.23,3.36,53.0,1.41,64.0,3.42,71.0,69.0,0.3,9.0,6.0,0.0,165.1,1.88,39.0,3.02,40.0,1.55,25.0,25.0,1.7499999999999998,Red,25.0,8.0,91.0,39.0,4,5,1.0,7,7,4,0.0,1.0,6,1,8,1.0,32.0,28.0,0,0
